,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
0,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 00:00,2023,2,1,00:00,-9.2,,-13.9,,69,,0.0,,31.0,,26.0,,16.1,,101.63,,,,-18.0,,
1,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 01:00,2023,2,1,01:00,-9.5,,-15.1,,64,,0.0,,30.0,,24.0,,16.1,,101.57,,,,-18.0,,
2,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 02:00,2023,2,1,02:00,-9.9,,-15.5,,64,,0.0,,31.0,,18.0,,16.1,,101.59,,,,-17.0,,
3,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 03:00,2023,2,1,03:00,-9.8,,-14.5,,69,,0.0,,28.0,,21.0,,16.1,,101.59,,,,-18.0,,
4,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 04:00,2023,2,1,04:00,-9.8,,-14.1,,71,,0.0,,27.0,,18.0,,16.1,,101.57,,,,-17.0,,
5,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 05:00,2023,2,1,05:00,-9.7,,-13.7,,73,,0.0,,26.0,,30.0,,16.1,,101.58,,,,-19.0,,
6,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 06:00,2023,2,1,06:00,-9.9,,-14.0,,72,,0.0,,27.0,,26.0,,16.1,,101.59,,,,-19.0,,
7,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 07:00,2023,2,1,07:00,-9.0,,-13.0,,73,,0.0,,26.0,,30.0,,16.1,,101.58,,,,-18.0,,
8,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 08:00,2023,2,1,08:00,-7.9,,-12.6,,69,,0.0,,25.0,,30.0,,16.1,,101.6,,,,-17.0,,
9,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 09:00,2023,2,1,09:00,-7.9,,-12.3,,71,,0.0,,25.0,,26.0,,16.1,,101.65,,,,-16.0,,
10,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 10:00,2023,2,1,10:00,-7.5,,-11.5,,73,,0.0,,24.0,,28.0,,16.1,,101.7,,,,-16.0,,
11,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 11:00,2023,2,1,11:00,-7.0,,-11.6,,70,,0.0,,23.0,,28.0,,16.1,,101.68,,,,-15.0,,
12,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 12:00,2023,2,1,12:00,-6.3,,-11.1,,69,,0.0,,25.0,,30.0,,16.1,,101.66,,,,-15.0,,
13,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 13:00,2023,2,1,13:00,-5.0,,-10.6,,65,,0.0,,26.0,,28.0,,16.1,,101.58,,,,-13.0,,
14,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 14:00,2023,2,1,14:00,-4.8,,-11.0,,62,,0.0,,27.0,,32.0,,16.1,,101.52,,,,-13.0,,
15,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 15:00,2023,2,1,15:00,-4.0,,-10.0,,63,,0.0,,26.0,,28.0,,16.1,,101.52,,,,-11.0,,
16,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 16:00,2023,2,1,16:00,-4.1,,-10.1,,63,,0.0,,26.0,,30.0,,16.1,,101.51,,,,-12.0,,
17,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 17:00,2023,2,1,17:00,-4.2,,-10.7,,61,,0.0,,24.0,,24.0,,16.1,,101.46,,,,-11.0,,
18,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 18:00,2023,2,1,18:00,-4.3,,-10.9,,60,,0.0,,24.0,,28.0,,16.1,,101.46,,,,-12.0,,
19,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 19:00,2023,2,1,19:00,-4.2,,-10.1,,64,,0.0,,25.0,,30.0,,16.1,,101.47,,,,-12.0,,
20,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 20:00,2023,2,1,20:00,-4.3,,-9.4,,68,,0.0,,24.0,,28.0,,16.1,,101.44,,,,-12.0,,
21,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 21:00,2023,2,1,21:00,-4.4,,-8.7,,72,,0.0,,26.0,,32.0,,16.1,,101.42,,,,-12.0,,
22,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 22:00,2023,2,1,22:00,-4.3,,-9.6,,67,,0.0,,26.0,,30.0,,16.1,,101.41,,,,-12.0,,
23,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-01 23:00,2023,2,1,23:00,-4.3,,-9.5,,67,,0.0,,25.0,,26.0,,16.1,,101.35,,,,-12.0,,
24,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 00:00,2023,2,2,00:00,-4.5,,-9.9,,66,,0.0,,26.0,,28.0,,16.1,,101.35,,,,-12.0,,
25,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 01:00,2023,2,2,01:00,-4.8,,-10.6,,64,,0.0,,26.0,,30.0,,16.1,,101.26,,,,-13.0,,
26,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 02:00,2023,2,2,02:00,-5.1,,-11.0,,64,,0.0,,25.0,,28.0,,16.1,,101.2,,,,-13.0,,
27,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 03:00,2023,2,2,03:00,-5.3,,-11.0,,64,,0.0,,27.0,,21.0,,16.1,,101.19,,,,-12.0,,
28,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 04:00,2023,2,2,04:00,-5.5,,-11.3,,64,,0.0,,27.0,,22.0,,16.1,,101.14,,,,-13.0,,
29,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 05:00,2023,2,2,05:00,-5.5,,-11.3,,64,,0.0,,24.0,,26.0,,16.1,,101.04,,,,-13.0,,
30,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 06:00,2023,2,2,06:00,-5.4,,-11.2,,64,,0.0,,25.0,,30.0,,16.1,,100.97,,,,-14.0,,
31,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 07:00,2023,2,2,07:00,-4.8,,-10.0,,67,,0.0,,24.0,,28.0,,16.1,,100.92,,,,-12.0,,
32,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 08:00,2023,2,2,08:00,-3.6,,-8.9,,67,,0.0,,24.0,,32.0,,16.1,,100.87,,,,-11.0,,
33,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 09:00,2023,2,2,09:00,-2.7,,-8.4,,65,,0.0,,24.0,,30.0,,16.1,,100.79,,,,-10.0,,
34,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 10:00,2023,2,2,10:00,-1.5,,-7.2,,65,,0.0,,22.0,,32.0,,16.1,,100.65,,,,-9.0,,
35,-79.4,43.63,TORONTO CITY CENTRE,6158359,2023-02-02 11:00,2023,2,2,11:00,-0.5,,-6.1,,66,,0.0,,23.0,,39.0,,16.1,,100.53,,,,-8.0,,
